msqi_original;corrected_msqi_Arm;corrected_msqi_Sternum;power_Arm;power_Sternum;Diff_Arm;Diff_Sternum
0,875086264157515;0,875099053529725;0,875099118519639;0,01917119369264;0,019464939832412;1,27893722099426e-05;1,28543621239485e-05
0,861729078545471;0,861756147912642;0,861758918474089;0,00282404281941629;0,00378294744898143;2,70693671710065e-05;2,98399286180473e-05
0,888602177643726;0,888602180637704;0,888602178225791;0,00275034465724405;0,00369420516504322;2,99397806546864e-09;5,82065062815218e-10
0,860623592922135;0,860652797790066;0,860655867640705;0,00277063364991753;0,00373938995063246;2,92048679310097e-05;3,22747185700356e-05
0,873173290060254;0,873222842434864;0,873182947602049;0,0027450954790232;0,00372181016551926;4,95523746100179e-05;9,6575417949385e-06
0,870028814818652;0,870041509867999;0,870042900081687;0,0027575442962714;0,00376629386028834;1,2695049346978e-05;1,40852630350352e-05
0,865473438486386;0,865493242570395;0,865585717297188;0,00276389857788113;0,00367597421470289;1,98040840089231e-05;0,000112278810802002
0,869325503265514;0,869403096815504;0,869403143428026;0,00273329539318272;0,00363985579211756;7,75935499899294e-05;7,76401625119938e-05
0,864915961656904;0,864936760120737;0,86503380133596;0,00276906140873664;0,00363216868877584;2,07984638329606e-05;0,000117839679055987
0,879854358569144;0,879857178755932;0,87987032800695;0,0027739745647909;0,00366031848120584;2,82018678798845e-06;1,59694378060182e-05
0,881180560551681;0,881192083340822;0,881192090189905;0,00273610269485786;0,0036331064373539;1,15227891409608e-05;1,15296382239283e-05
0,87082132945887;0,870887254683907;0,870834135904867;0,00274941744494494;0,00368538259618123;6,59252250370113e-05;1,28064459969934e-05
0,888724316924624;0,888724316924624;0,888724316924624;0,0136974535097609;0,00439499729721091;0;0
0,142872963576445;0,676186118849854;0,53897450603516;0,0626830582408622;0,0256816479402603;0,533313155273409;0,396101542458715
0,654275185227934;0,762866680286215;0,759964128863986;0,0401778501463757;0,0116647478034068;0,108591495058281;0,105688943636052
0,269553370215701;0,423014964865082;0,390146537404539;0,0172998076459333;0,00839479815154696;0,153461594649381;0,120593167188838
0,563497647040973;0,684880550743337;0,675771046683555;0,0375332281110317;0,00709758341552878;0,121382903702364;0,112273399642582
0,590054605382915;0,705258063499045;0,6991737300221;0,0288127793419489;0,00621752388228817;0,11520345811613;0,109119124639185
0,548891433754583;0,571757697557454;0,562202226330809;0,0307575052568422;0,00606704513383556;0,0228662638028709;0,0133107925762259
0,597638504595431;0,709765283842806;0,705461528018912;0,018307521545962;0,00491492652895046;0,112126779247375;0,107823023423481
0,612385659020468;0,72581328950651;0,719627858571832;0,0389259993648111;0,00610735392698493;0,113427630486042;0,107242199551364
0,610891160608995;0,722652208222803;0,71806996973117;0,024975747590907;0,00567986077151186;0,111761047613808;0,107178809122175
0,620822040791249;0,731062820951222;0,727279461372917;0,0224849378963775;0,00563728229887872;0,110240780159973;0,106457420581668
0,636144222705461;0,745598906071315;0,741569441182804;0,0290111919120045;0,00548120823401346;0,109454683365854;0,105425218477343
0,64300538546595;0,752141042551176;0,74799692213292;0,0328802744767136;0,00536313664919607;0,109135657085226;0,10499153666697
0,637418452073258;0,745988193974809;0,742683496504711;0,0225313641570977;0,00522504916747429;0,108569741901551;0,105265044431453
0,658910054626388;0,765986536763115;0,763027386515942;0,0263992472968967;0,00519980345362037;0,107076482136727;0,104117331889554
0,630767660121091;0,740377129457842;0,736673261794609;0,0255489962222258;0,00593018277379553;0,109609469336751;0,105905601673518
0,651106829116297;0,75886809067384;0,755874731582108;0,0265489236896899;0,00615505656728424;0,107761261557543;0,104767902465811
0,791851238404119;0,792702485313271;0,792357128653562;0,0256134643855731;0,00537614045160115;0,000851246909152059;0,000505890249443031
0,791367898719979;0,792253056578952;0,791900856031699;0,0278466372786568;0,00607837994287848;0,000885157858972918;0,000532957311719984
0,79129873597267;0,792189346141655;0,791813284824321;0,028228690234954;0,0054438684142102;0,000890610168985062;0,000514548851651031
