Files,Type,Mean,StdDev,p10,p90,Metric (90%-10%)/10%,Metric (90%-10%)
I_Rest_Stairs_2025-02-21.txt,mSQI Original,0.674342594097282,0.253939218817894,0.192558015872508,0.937599990813918,3.86918182328332,0.74504197494141
I_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Arm),0.742609872844352,0.154160088773571,0.53955750685251,0.937599990813918,0.737720222415911,0.398042483961408
I_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Sternum),0.741196962318015,0.15508731957404,0.538140207312272,0.937599990813918,0.742296855120227,0.399459783501646
I_Rest_Walking_2025-02-21.txt,mSQI Original,0.70233415549895,0.16300827245052,0.519725959888301,0.814778156462617,0.567707252179067,0.295052196574315
I_Rest_Walking_2025-02-21.txt,mSQI Corregido (Arm),0.728519381368215,0.104889199481806,0.550584528543839,0.816033809924374,0.482122667127214,0.265449281380535
I_Rest_Walking_2025-02-21.txt,mSQI Corregido (Sternum),0.726507918483604,0.102725249216787,0.551133197351138,0.814842489626483,0.478485588498002,0.263709292275345
I_Rest_Stairs_2025-02-21.txt,mSQI Original,0.674342594097282,0.253939218817894,0.192558015872508,0.937599990813918,3.86918182328332,0.74504197494141
I_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Arm),0.742609872844352,0.154160088773571,0.53955750685251,0.937599990813918,0.737720222415911,0.398042483961408
I_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Sternum),0.741196962318015,0.15508731957404,0.538140207312272,0.937599990813918,0.742296855120227,0.399459783501646
I_Rest_Working_2025-02-21.txt,mSQI Original,0.739633006596766,0.152814260579852,0.59232977514667,0.874512371928337,0.476394415107352,0.282182596781667
I_Rest_Working_2025-02-21.txt,mSQI Corregido (Arm),0.754797552335245,0.113880279136166,0.609638250167194,0.87451281396831,0.43447825612726,0.264874563801117
I_Rest_Working_2025-02-21.txt,mSQI Corregido (Sternum),0.750655201194478,0.121154985126307,0.598247603502787,0.874512979136669,0.461791027688749,0.276265375633883
I_Rest_Walking_2025-02-21.txt,mSQI Original,0.70233415549895,0.16300827245052,0.519725959888301,0.814778156462617,0.567707252179067,0.295052196574315
I_Rest_Walking_2025-02-21.txt,mSQI Corregido (Arm),0.728519381368215,0.104889199481806,0.550584528543839,0.816033809924374,0.482122667127214,0.265449281380535
I_Rest_Walking_2025-02-21.txt,mSQI Corregido (Sternum),0.726507918483604,0.102725249216787,0.551133197351138,0.814842489626483,0.478485588498002,0.263709292275345
I_Rest_Working_2025-02-21.txt,mSQI Original,0.739633006596766,0.152814260579852,0.59232977514667,0.874512371928337,0.476394415107352,0.282182596781667
I_Rest_Working_2025-02-21.txt,mSQI Corregido (Arm),0.754797552335245,0.113880279136166,0.609638250167194,0.87451281396831,0.43447825612726,0.264874563801117
I_Rest_Working_2025-02-21.txt,mSQI Corregido (Sternum),0.750655201194478,0.121154985126307,0.598247603502787,0.874512979136669,0.461791027688749,0.276265375633883
II_Rest_Stairs_2025-02-21.txt,mSQI Original,0.784901317625016,0.184296233609816,0.530702370308381,0.939368992181654,0.770048608668932,0.408666621873273
II_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Arm),0.807466937079749,0.127753411959549,0.571120402496087,0.939369017603714,0.644782804988567,0.368248615107627
II_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Sternum),0.808116376493583,0.126343420752182,0.576960172349248,0.939368992181654,0.628134899427738,0.362408819832406
II_Rest_Walking_2025-02-21.txt,mSQI Original,0.61917695132871,0.298716987581505,0.176111853440553,0.903030397554514,4.12759578593234,0.726918544113961
II_Rest_Walking_2025-02-21.txt,mSQI Corregido (Arm),0.705540074458612,0.183294637020217,0.487673344644497,0.903032064657962,0.851715035432686,0.415358720013465
II_Rest_Walking_2025-02-21.txt,mSQI Corregido (Sternum),0.711785090648404,0.170938481617891,0.494542788981284,0.903032189128332,0.825994047933651,0.408489400147048
II_Rest_Stairs_2025-02-21.txt,mSQI Original,0.784901317625016,0.184296233609816,0.530702370308381,0.939368992181654,0.770048608668932,0.408666621873273
II_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Arm),0.807466937079749,0.127753411959549,0.571120402496087,0.939369017603714,0.644782804988567,0.368248615107627
II_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Sternum),0.808116376493583,0.126343420752182,0.576960172349248,0.939368992181654,0.628134899427738,0.362408819832406
II_Rest_Working_2025-02-21.txt,mSQI Original,0.799028323133729,0.120472212178422,0.702494546729331,0.924714267556632,0.316329460295329,0.222219720827301
II_Rest_Working_2025-02-21.txt,mSQI Corregido (Arm),0.807557555022051,0.0879820119193737,0.705997669376131,0.924714307008324,0.309797959850868,0.218716637632193
II_Rest_Working_2025-02-21.txt,mSQI Corregido (Sternum),0.806096030886031,0.0919577725979715,0.704729460896855,0.924714296028123,0.312155014565887,0.219984835131268
II_Rest_Walking_2025-02-21.txt,mSQI Original,0.61917695132871,0.298716987581505,0.176111853440553,0.903030397554514,4.12759578593234,0.726918544113961
II_Rest_Walking_2025-02-21.txt,mSQI Corregido (Arm),0.705540074458612,0.183294637020217,0.487673344644497,0.903032064657962,0.851715035432686,0.415358720013465
II_Rest_Walking_2025-02-21.txt,mSQI Corregido (Sternum),0.711785090648404,0.170938481617891,0.494542788981284,0.903032189128332,0.825994047933651,0.408489400147048
II_Rest_Working_2025-02-21.txt,mSQI Original,0.799028323133729,0.120472212178422,0.702494546729331,0.924714267556632,0.316329460295329,0.222219720827301
II_Rest_Working_2025-02-21.txt,mSQI Corregido (Arm),0.807557555022051,0.0879820119193737,0.705997669376131,0.924714307008324,0.309797959850868,0.218716637632193
II_Rest_Working_2025-02-21.txt,mSQI Corregido (Sternum),0.806096030886031,0.0919577725979715,0.704729460896855,0.924714296028123,0.312155014565887,0.219984835131268
