Type,Max,Min,Result,Differences
mSQI Original,0.908204335718939,0.882827057420205,0.0287454695519776,NaN
mSQI Corregido (Arm),0.919182987975407,0.903828721624873,0.0169880265842081,0.0117574429677695
mSQI Corregido (Sternum),0.910308345602797,0.908906306376335,0.00154255638521364,0.027202913166764
