Class,Type,mSQI_t-6,mSQI_t-5,mSQI_t-4,mSQI_t-3,mSQI_t-2,mSQI_t-1,mSQI_t0,mSQI_t1,mSQI_t2,mSQI_t3,mSQI_t4,mSQI_t5,PowerArm_t-6,PowerArm_t-5,PowerArm_t-4,PowerArm_t-3,PowerArm_t-2,PowerArm_t-1,PowerArm_t0,PowerArm_t1,PowerArm_t2,PowerArm_t3,PowerArm_t4,PowerArm_t5,PowerSternum_t-6,PowerSternum_t-5,PowerSternum_t-4,PowerSternum_t-3,PowerSternum_t-2,PowerSternum_t-1,PowerSternum_t0,PowerSternum_t1,PowerSternum_t2,PowerSternum_t3,PowerSternum_t4,PowerSternum_t5
0,1,0.875086264157515,0.861729078545471,0.888602177643726,0.860623592922135,0.873173290060254,0.870028814818652,0.865473438486386,0.869325503265514,0.864915961656904,0.879854358569144,0.881180560551681,0.87082132945887,0.01917119369264,0.00282404281941629,0.00275034465724405,0.00277063364991753,0.0027450954790232,0.0027575442962714,0.00276389857788113,0.00273329539318272,0.00276906140873664,0.0027739745647909,0.00273610269485786,0.00274941744494494,0.019464939832412,0.00378294744898143,0.00369420516504322,0.00373938995063246,0.00372181016551926,0.00376629386028834,0.00367597421470289,0.00363985579211756,0.00363216868877584,0.00366031848120584,0.0036331064373539,0.00368538259618123
0,1,0.861729078545471,0.888602177643726,0.860623592922135,0.873173290060254,0.870028814818652,0.865473438486386,0.869325503265514,0.864915961656904,0.879854358569144,0.881180560551681,0.87082132945887,0.888724316924624,0.00282404281941629,0.00275034465724405,0.00277063364991753,0.0027450954790232,0.0027575442962714,0.00276389857788113,0.00273329539318272,0.00276906140873664,0.0027739745647909,0.00273610269485786,0.00274941744494494,0.0136974535097609,0.00378294744898143,0.00369420516504322,0.00373938995063246,0.00372181016551926,0.00376629386028834,0.00367597421470289,0.00363985579211756,0.00363216868877584,0.00366031848120584,0.0036331064373539,0.00368538259618123,0.00439499729721091
0,1,0.888602177643726,0.860623592922135,0.873173290060254,0.870028814818652,0.865473438486386,0.869325503265514,0.864915961656904,0.879854358569144,0.881180560551681,0.87082132945887,0.888724316924624,0.142872963576445,0.00275034465724405,0.00277063364991753,0.0027450954790232,0.0027575442962714,0.00276389857788113,0.00273329539318272,0.00276906140873664,0.0027739745647909,0.00273610269485786,0.00274941744494494,0.0136974535097609,0.0626830582408622,0.00369420516504322,0.00373938995063246,0.00372181016551926,0.00376629386028834,0.00367597421470289,0.00363985579211756,0.00363216868877584,0.00366031848120584,0.0036331064373539,0.00368538259618123,0.00439499729721091,0.0256816479402603
0,1,0.860623592922135,0.873173290060254,0.870028814818652,0.865473438486386,0.869325503265514,0.864915961656904,0.879854358569144,0.881180560551681,0.87082132945887,0.888724316924624,0.142872963576445,0.654275185227934,0.00277063364991753,0.0027450954790232,0.0027575442962714,0.00276389857788113,0.00273329539318272,0.00276906140873664,0.0027739745647909,0.00273610269485786,0.00274941744494494,0.0136974535097609,0.0626830582408622,0.0401778501463757,0.00373938995063246,0.00372181016551926,0.00376629386028834,0.00367597421470289,0.00363985579211756,0.00363216868877584,0.00366031848120584,0.0036331064373539,0.00368538259618123,0.00439499729721091,0.0256816479402603,0.0116647478034068
0,1,0.873173290060254,0.870028814818652,0.865473438486386,0.869325503265514,0.864915961656904,0.879854358569144,0.881180560551681,0.87082132945887,0.888724316924624,0.142872963576445,0.654275185227934,0.269553370215701,0.0027450954790232,0.0027575442962714,0.00276389857788113,0.00273329539318272,0.00276906140873664,0.0027739745647909,0.00273610269485786,0.00274941744494494,0.0136974535097609,0.0626830582408622,0.0401778501463757,0.0172998076459333,0.00372181016551926,0.00376629386028834,0.00367597421470289,0.00363985579211756,0.00363216868877584,0.00366031848120584,0.0036331064373539,0.00368538259618123,0.00439499729721091,0.0256816479402603,0.0116647478034068,0.00839479815154696
0,1,0.870028814818652,0.865473438486386,0.869325503265514,0.864915961656904,0.879854358569144,0.881180560551681,0.87082132945887,0.888724316924624,0.142872963576445,0.654275185227934,0.269553370215701,0.563497647040973,0.0027575442962714,0.00276389857788113,0.00273329539318272,0.00276906140873664,0.0027739745647909,0.00273610269485786,0.00274941744494494,0.0136974535097609,0.0626830582408622,0.0401778501463757,0.0172998076459333,0.0375332281110317,0.00376629386028834,0.00367597421470289,0.00363985579211756,0.00363216868877584,0.00366031848120584,0.0036331064373539,0.00368538259618123,0.00439499729721091,0.0256816479402603,0.0116647478034068,0.00839479815154696,0.00709758341552878
0,1,0.865473438486386,0.869325503265514,0.864915961656904,0.879854358569144,0.881180560551681,0.87082132945887,0.888724316924624,0.142872963576445,0.654275185227934,0.269553370215701,0.563497647040973,0.590054605382915,0.00276389857788113,0.00273329539318272,0.00276906140873664,0.0027739745647909,0.00273610269485786,0.00274941744494494,0.0136974535097609,0.0626830582408622,0.0401778501463757,0.0172998076459333,0.0375332281110317,0.0288127793419489,0.00367597421470289,0.00363985579211756,0.00363216868877584,0.00366031848120584,0.0036331064373539,0.00368538259618123,0.00439499729721091,0.0256816479402603,0.0116647478034068,0.00839479815154696,0.00709758341552878,0.00621752388228817
0,1,0.869325503265514,0.864915961656904,0.879854358569144,0.881180560551681,0.87082132945887,0.888724316924624,0.142872963576445,0.654275185227934,0.269553370215701,0.563497647040973,0.590054605382915,0.548891433754583,0.00273329539318272,0.00276906140873664,0.0027739745647909,0.00273610269485786,0.00274941744494494,0.0136974535097609,0.0626830582408622,0.0401778501463757,0.0172998076459333,0.0375332281110317,0.0288127793419489,0.0307575052568422,0.00363985579211756,0.00363216868877584,0.00366031848120584,0.0036331064373539,0.00368538259618123,0.00439499729721091,0.0256816479402603,0.0116647478034068,0.00839479815154696,0.00709758341552878,0.00621752388228817,0.00606704513383556
0,1,0.864915961656904,0.879854358569144,0.881180560551681,0.87082132945887,0.888724316924624,0.142872963576445,0.654275185227934,0.269553370215701,0.563497647040973,0.590054605382915,0.548891433754583,0.597638504595431,0.00276906140873664,0.0027739745647909,0.00273610269485786,0.00274941744494494,0.0136974535097609,0.0626830582408622,0.0401778501463757,0.0172998076459333,0.0375332281110317,0.0288127793419489,0.0307575052568422,0.018307521545962,0.00363216868877584,0.00366031848120584,0.0036331064373539,0.00368538259618123,0.00439499729721091,0.0256816479402603,0.0116647478034068,0.00839479815154696,0.00709758341552878,0.00621752388228817,0.00606704513383556,0.00491492652895046
0,1,0.879854358569144,0.881180560551681,0.87082132945887,0.888724316924624,0.142872963576445,0.654275185227934,0.269553370215701,0.563497647040973,0.590054605382915,0.548891433754583,0.597638504595431,0.612385659020468,0.0027739745647909,0.00273610269485786,0.00274941744494494,0.0136974535097609,0.0626830582408622,0.0401778501463757,0.0172998076459333,0.0375332281110317,0.0288127793419489,0.0307575052568422,0.018307521545962,0.0389259993648111,0.00366031848120584,0.0036331064373539,0.00368538259618123,0.00439499729721091,0.0256816479402603,0.0116647478034068,0.00839479815154696,0.00709758341552878,0.00621752388228817,0.00606704513383556,0.00491492652895046,0.00610735392698493
