Type,Max,Min,Result,Differences
mSQI Original,0.885498342472299,0.661482360464105,0.338657529508453,NaN
mSQI Corregido (Arm),0.911430771897473,0.682300115640939,0.335820925431463,0.00283660407699027
mSQI Corregido (Sternum),0.907306769808006,0.66333165565447,0.367802609861608,-0.0291450803531552
