power_x,power_y,power_z,power_total_xyz
0.00676644082952774,0.0199197992861486,0.00590905583479026,0.02185177489264
0.0012602853222735,0.00264480958806815,0.0037024059194841,0.00472135006574455
0.00115329570204521,0.00285252583353894,0.00400361468284515,0.00504934898140902
0.00106785591901109,0.00234065861791305,0.00319240123935194,0.00410005179264768
0.00105376169778765,0.00235942125207621,0.0033515340246527,0.00423202819920637
0.00102711632155777,0.00218634431513214,0.00302775531798881,0.00387328951511896
0.00103575499630976,0.00215888785561199,0.00294858981536991,0.00379839006485546
0.00121330032155268,0.00266857249633908,0.00349319871999715,0.00456024277159527
0.00107233303147618,0.00225472189922673,0.0030051327964604,0.00390697992029769
0.00123205423298364,0.00278318707065851,0.00347924941564575,0.00462269016910769
0.00109519256011263,0.00267457582927842,0.00323570519068565,0.00433850097283802
0.00109758919156575,0.00266803005110621,0.00326889538022036,0.00435990405787488
0.00119131382488565,0.0029650461997539,0.00371400188825755,0.00489944258278627
0.00107998206991262,0.00248821967019802,0.00309269923857454,0.00411368289720691
0.00105604051315451,0.00247459640022191,0.00306291354158292,0.00407679877754923
0.00110044992985228,0.0025828281176707,0.00313421632103599,0.00420776699456976
0.0010675962425744,0.00247469591625237,0.00308500360405042,0.00409647761522985
0.00172950310804474,0.00372461905035626,0.00418200157434475,0.00586115221085711
0.00130065740775382,0.00295408710650121,0.00340841972899067,0.00469421616184368
0.00130461927226867,0.00300006375272012,0.00322443423711327,0.00459340724467451
0.00132103116426328,0.003031727244479,0.00360132292512787,0.004889378307405
0.00111016247992337,0.00270445683669691,0.00314340820344539,0.00429273370323318
0.00107625468569571,0.00258134510488774,0.00308416482374516,0.00416338076075644
0.00124326187328954,0.00285721336097477,0.00324202881201241,0.00449667867360197
0.00118809214870005,0.00271752436757305,0.00307241408503999,0.00427038990633269
0.00104394385911199,0.00240058300262761,0.0028980700751012,0.00390530763111938
0.00108662771868573,0.00250116255773421,0.00302568313911954,0.00407324592893431
0.00106979868259062,0.00253742694341224,0.00303797354879955,0.00410027901460776
0.00105169476627701,0.00245892043190795,0.00292065857405219,0.00396012601795112
0.00105498927830049,0.00244138638481942,0.0029197782433526,0.00394949045418087
