Class,Type,mSQI_t-6,mSQI_t-5,mSQI_t-4,mSQI_t-3,mSQI_t-2,mSQI_t-1,mSQI_t0,mSQI_t1,mSQI_t2,mSQI_t3,mSQI_t4,mSQI_t5,PowerArm_t-6,PowerArm_t-5,PowerArm_t-4,PowerArm_t-3,PowerArm_t-2,PowerArm_t-1,PowerArm_t0,PowerArm_t1,PowerArm_t2,PowerArm_t3,PowerArm_t4,PowerArm_t5,PowerSternum_t-6,PowerSternum_t-5,PowerSternum_t-4,PowerSternum_t-3,PowerSternum_t-2,PowerSternum_t-1,PowerSternum_t0,PowerSternum_t1,PowerSternum_t2,PowerSternum_t3,PowerSternum_t4,PowerSternum_t5
0,1,0.936011255715889,0.916023359729299,0.942097133684611,0.929918603835126,0.930656685828006,0.935899718734893,0.935312935227129,0.944251285269993,0.945539858292541,0.945192395928457,0.940239708424586,0.936793634216401,0.0162533688821962,0.00270308364413524,0.00267338615765783,0.00411383959389618,0.00266161592896811,0.00266934824047957,0.00278940121906448,0.00277802331569722,0.00266484700032624,0.00266424338572585,0.00265426973729366,0.00738219166079486,0.0193624949835743,0.00396303967228304,0.00398635777281855,0.00556057071793282,0.0038530320742423,0.00377293652552612,0.00406202689059923,0.00396944449164969,0.00367059508374458,0.00359994461603541,0.00360893511583755,0.0037607822352705
0,1,0.916023359729299,0.942097133684611,0.929918603835126,0.930656685828006,0.935899718734893,0.935312935227129,0.944251285269993,0.945539858292541,0.945192395928457,0.940239708424586,0.936793634216401,0.937337320948146,0.00270308364413524,0.00267338615765783,0.00411383959389618,0.00266161592896811,0.00266934824047957,0.00278940121906448,0.00277802331569722,0.00266484700032624,0.00266424338572585,0.00265426973729366,0.00738219166079486,0.00532601483463275,0.00396303967228304,0.00398635777281855,0.00556057071793282,0.0038530320742423,0.00377293652552612,0.00406202689059923,0.00396944449164969,0.00367059508374458,0.00359994461603541,0.00360893511583755,0.0037607822352705,0.00373651884102021
0,1,0.942097133684611,0.929918603835126,0.930656685828006,0.935899718734893,0.935312935227129,0.944251285269993,0.945539858292541,0.945192395928457,0.940239708424586,0.936793634216401,0.937337320948146,0.697873345200249,0.00267338615765783,0.00411383959389618,0.00266161592896811,0.00266934824047957,0.00278940121906448,0.00277802331569722,0.00266484700032624,0.00266424338572585,0.00265426973729366,0.00738219166079486,0.00532601483463275,0.0406667684132149,0.00398635777281855,0.00556057071793282,0.0038530320742423,0.00377293652552612,0.00406202689059923,0.00396944449164969,0.00367059508374458,0.00359994461603541,0.00360893511583755,0.0037607822352705,0.00373651884102021,0.0375924726994145
0,1,0.929918603835126,0.930656685828006,0.935899718734893,0.935312935227129,0.944251285269993,0.945539858292541,0.945192395928457,0.940239708424586,0.936793634216401,0.937337320948146,0.697873345200249,0.343367281484003,0.00411383959389618,0.00266161592896811,0.00266934824047957,0.00278940121906448,0.00277802331569722,0.00266484700032624,0.00266424338572585,0.00265426973729366,0.00738219166079486,0.00532601483463275,0.0406667684132149,0.0372538003845093,0.00556057071793282,0.0038530320742423,0.00377293652552612,0.00406202689059923,0.00396944449164969,0.00367059508374458,0.00359994461603541,0.00360893511583755,0.0037607822352705,0.00373651884102021,0.0375924726994145,0.0483451627411578
0,1,0.930656685828006,0.935899718734893,0.935312935227129,0.944251285269993,0.945539858292541,0.945192395928457,0.940239708424586,0.936793634216401,0.937337320948146,0.697873345200249,0.343367281484003,0.52745678036935,0.00266161592896811,0.00266934824047957,0.00278940121906448,0.00277802331569722,0.00266484700032624,0.00266424338572585,0.00265426973729366,0.00738219166079486,0.00532601483463275,0.0406667684132149,0.0372538003845093,0.0329750984194231,0.0038530320742423,0.00377293652552612,0.00406202689059923,0.00396944449164969,0.00367059508374458,0.00359994461603541,0.00360893511583755,0.0037607822352705,0.00373651884102021,0.0375924726994145,0.0483451627411578,0.0435485817433968
0,1,0.935899718734893,0.935312935227129,0.944251285269993,0.945539858292541,0.945192395928457,0.940239708424586,0.936793634216401,0.937337320948146,0.697873345200249,0.343367281484003,0.52745678036935,0.780784833320974,0.00266934824047957,0.00278940121906448,0.00277802331569722,0.00266484700032624,0.00266424338572585,0.00265426973729366,0.00738219166079486,0.00532601483463275,0.0406667684132149,0.0372538003845093,0.0329750984194231,0.0391530535160627,0.00377293652552612,0.00406202689059923,0.00396944449164969,0.00367059508374458,0.00359994461603541,0.00360893511583755,0.0037607822352705,0.00373651884102021,0.0375924726994145,0.0483451627411578,0.0435485817433968,0.041245494757236
0,1,0.935312935227129,0.944251285269993,0.945539858292541,0.945192395928457,0.940239708424586,0.936793634216401,0.937337320948146,0.697873345200249,0.343367281484003,0.52745678036935,0.780784833320974,0.839785697806252,0.00278940121906448,0.00277802331569722,0.00266484700032624,0.00266424338572585,0.00265426973729366,0.00738219166079486,0.00532601483463275,0.0406667684132149,0.0372538003845093,0.0329750984194231,0.0391530535160627,0.0428094573636416,0.00406202689059923,0.00396944449164969,0.00367059508374458,0.00359994461603541,0.00360893511583755,0.0037607822352705,0.00373651884102021,0.0375924726994145,0.0483451627411578,0.0435485817433968,0.041245494757236,0.0396437900397546
0,1,0.944251285269993,0.945539858292541,0.945192395928457,0.940239708424586,0.936793634216401,0.937337320948146,0.697873345200249,0.343367281484003,0.52745678036935,0.780784833320974,0.839785697806252,0.856905155581267,0.00277802331569722,0.00266484700032624,0.00266424338572585,0.00265426973729366,0.00738219166079486,0.00532601483463275,0.0406667684132149,0.0372538003845093,0.0329750984194231,0.0391530535160627,0.0428094573636416,0.0502589747137758,0.00396944449164969,0.00367059508374458,0.00359994461603541,0.00360893511583755,0.0037607822352705,0.00373651884102021,0.0375924726994145,0.0483451627411578,0.0435485817433968,0.041245494757236,0.0396437900397546,0.041632098855984
0,1,0.945539858292541,0.945192395928457,0.940239708424586,0.936793634216401,0.937337320948146,0.697873345200249,0.343367281484003,0.52745678036935,0.780784833320974,0.839785697806252,0.856905155581267,0.876805617720407,0.00266484700032624,0.00266424338572585,0.00265426973729366,0.00738219166079486,0.00532601483463275,0.0406667684132149,0.0372538003845093,0.0329750984194231,0.0391530535160627,0.0428094573636416,0.0502589747137758,0.0553962439302207,0.00367059508374458,0.00359994461603541,0.00360893511583755,0.0037607822352705,0.00373651884102021,0.0375924726994145,0.0483451627411578,0.0435485817433968,0.041245494757236,0.0396437900397546,0.041632098855984,0.0523817562142488
0,1,0.945192395928457,0.940239708424586,0.936793634216401,0.937337320948146,0.697873345200249,0.343367281484003,0.52745678036935,0.780784833320974,0.839785697806252,0.856905155581267,0.876805617720407,0.868235220849378,0.00266424338572585,0.00265426973729366,0.00738219166079486,0.00532601483463275,0.0406667684132149,0.0372538003845093,0.0329750984194231,0.0391530535160627,0.0428094573636416,0.0502589747137758,0.0553962439302207,0.0458446576680254,0.00359994461603541,0.00360893511583755,0.0037607822352705,0.00373651884102021,0.0375924726994145,0.0483451627411578,0.0435485817433968,0.041245494757236,0.0396437900397546,0.041632098855984,0.0523817562142488,0.0419041912498869
0,1,0.940239708424586,0.936793634216401,0.937337320948146,0.697873345200249,0.343367281484003,0.52745678036935,0.780784833320974,0.839785697806252,0.856905155581267,0.876805617720407,0.868235220849378,0.822445226592033,0.00265426973729366,0.00738219166079486,0.00532601483463275,0.0406667684132149,0.0372538003845093,0.0329750984194231,0.0391530535160627,0.0428094573636416,0.0502589747137758,0.0553962439302207,0.0458446576680254,0.0360149020746261,0.00360893511583755,0.0037607822352705,0.00373651884102021,0.0375924726994145,0.0483451627411578,0.0435485817433968,0.041245494757236,0.0396437900397546,0.041632098855984,0.0523817562142488,0.0419041912498869,0.0330295806312939
0,1,0.936793634216401,0.937337320948146,0.697873345200249,0.343367281484003,0.52745678036935,0.780784833320974,0.839785697806252,0.856905155581267,0.876805617720407,0.868235220849378,0.822445226592033,0.700597757143606,0.00738219166079486,0.00532601483463275,0.0406667684132149,0.0372538003845093,0.0329750984194231,0.0391530535160627,0.0428094573636416,0.0502589747137758,0.0553962439302207,0.0458446576680254,0.0360149020746261,0.0398336242771669,0.0037607822352705,0.00373651884102021,0.0375924726994145,0.0483451627411578,0.0435485817433968,0.041245494757236,0.0396437900397546,0.041632098855984,0.0523817562142488,0.0419041912498869,0.0330295806312939,0.0373416599738956
0,1,0.937337320948146,0.697873345200249,0.343367281484003,0.52745678036935,0.780784833320974,0.839785697806252,0.856905155581267,0.876805617720407,0.868235220849378,0.822445226592033,0.700597757143606,0.756544696999651,0.00532601483463275,0.0406667684132149,0.0372538003845093,0.0329750984194231,0.0391530535160627,0.0428094573636416,0.0502589747137758,0.0553962439302207,0.0458446576680254,0.0360149020746261,0.0398336242771669,0.0397490423366328,0.00373651884102021,0.0375924726994145,0.0483451627411578,0.0435485817433968,0.041245494757236,0.0396437900397546,0.041632098855984,0.0523817562142488,0.0419041912498869,0.0330295806312939,0.0373416599738956,0.0368191669842739
