Files,Type,Mean,StdDev,p10,p90,Metric (90%-10%)/10%,Metric (90%-10%)
I_Rest_Stairs_2025-02-21.txt,mSQI Original,0.674342594097282,0.253939218817894,0.192558015872508,0.937599990813918,3.86918182328332,0.74504197494141
I_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Arm),0.862387054041377,0.090428344631417,0.739981885715247,1,0.351384431570817,0.260018114284753
I_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Sternum),0.860773072102944,0.0921921214329192,0.732941948405081,1,0.364364534157243,0.267058051594919
I_Rest_Walking_2025-02-21.txt,mSQI Original,0.70233415549895,0.16300827245052,0.519725959888301,0.814778156462617,0.567707252179067,0.295052196574315
I_Rest_Walking_2025-02-21.txt,mSQI Corregido (Arm),0.783082891544365,0.0832665567628615,0.649233733943369,0.84042045725424,0.294480575045948,0.191186723310871
I_Rest_Walking_2025-02-21.txt,mSQI Corregido (Sternum),0.784161715917906,0.0818034979871581,0.652826229601436,0.839068358340135,0.28528591575189,0.186242128738699
I_Rest_Stairs_2025-02-21.txt,mSQI Original,0.674342594097282,0.253939218817894,0.192558015872508,0.937599990813918,3.86918182328332,0.74504197494141
I_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Arm),0.862387054041377,0.090428344631417,0.739981885715247,1,0.351384431570817,0.260018114284753
I_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Sternum),0.860773072102944,0.0921921214329192,0.732941948405081,1,0.364364534157243,0.267058051594919
I_Rest_Working_2025-02-21.txt,mSQI Original,0.739633006596766,0.152814260579852,0.59232977514667,0.874512371928337,0.476394415107352,0.282182596781667
I_Rest_Working_2025-02-21.txt,mSQI Corregido (Arm),0.805493286244661,0.0918502372997911,0.658425573211878,0.880812446275697,0.337755521826087,0.222386873063819
I_Rest_Working_2025-02-21.txt,mSQI Corregido (Sternum),0.796450506593934,0.0980290480455765,0.639741880937365,0.878474148816554,0.373169672008018,0.238732267879189
I_Rest_Walking_2025-02-21.txt,mSQI Original,0.70233415549895,0.16300827245052,0.519725959888301,0.814778156462617,0.567707252179067,0.295052196574315
I_Rest_Walking_2025-02-21.txt,mSQI Corregido (Arm),0.783082891544365,0.0832665567628615,0.649233733943369,0.84042045725424,0.294480575045948,0.191186723310871
I_Rest_Walking_2025-02-21.txt,mSQI Corregido (Sternum),0.784161715917906,0.0818034979871581,0.652826229601436,0.839068358340135,0.28528591575189,0.186242128738699
I_Rest_Working_2025-02-21.txt,mSQI Original,0.739633006596766,0.152814260579852,0.59232977514667,0.874512371928337,0.476394415107352,0.282182596781667
I_Rest_Working_2025-02-21.txt,mSQI Corregido (Arm),0.805493286244661,0.0918502372997911,0.658425573211878,0.880812446275697,0.337755521826087,0.222386873063819
I_Rest_Working_2025-02-21.txt,mSQI Corregido (Sternum),0.796450506593934,0.0980290480455765,0.639741880937365,0.878474148816554,0.373169672008018,0.238732267879189
II_Rest_Stairs_2025-02-21.txt,mSQI Original,0.784901317625016,0.184296233609816,0.530702370308381,0.939368992181654,0.770048608668932,0.408666621873273
II_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Arm),0.86596237537849,0.0868306708121181,0.720925165663664,0.944910172989437,0.310691064750914,0.223985007325773
II_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Sternum),0.866378841287237,0.0860905684097757,0.722038504164735,0.944910180134212,0.308670070479549,0.222871675969477
II_Rest_Walking_2025-02-21.txt,mSQI Original,0.61917695132871,0.298716987581505,0.176111853440553,0.903030397554514,4.12759578593234,0.726918544113961
II_Rest_Walking_2025-02-21.txt,mSQI Corregido (Arm),0.892970368503233,0.0762083009383754,0.804333395410182,1,0.24326554847326,0.195666604589818
II_Rest_Walking_2025-02-21.txt,mSQI Corregido (Sternum),0.895248143367026,0.0780260367184319,0.798089989194128,1,0.252991534212515,0.201910010805872
II_Rest_Stairs_2025-02-21.txt,mSQI Original,0.784901317625016,0.184296233609816,0.530702370308381,0.939368992181654,0.770048608668932,0.408666621873273
II_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Arm),0.86596237537849,0.0868306708121181,0.720925165663664,0.944910172989437,0.310691064750914,0.223985007325773
II_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Sternum),0.866378841287237,0.0860905684097757,0.722038504164735,0.944910180134212,0.308670070479549,0.222871675969477
II_Rest_Working_2025-02-21.txt,mSQI Original,0.799028323133729,0.120472212178422,0.702494546729331,0.924714267556632,0.316329460295329,0.222219720827301
II_Rest_Working_2025-02-21.txt,mSQI Corregido (Arm),0.8410874168635,0.0733776298261811,0.735472328304467,0.925511863579626,0.258391142618879,0.190039535275158
II_Rest_Working_2025-02-21.txt,mSQI Corregido (Sternum),0.838920648033126,0.0756366939763009,0.727841779331477,0.925499913829728,0.271567447914023,0.197658134498251
II_Rest_Walking_2025-02-21.txt,mSQI Original,0.61917695132871,0.298716987581505,0.176111853440553,0.903030397554514,4.12759578593234,0.726918544113961
II_Rest_Walking_2025-02-21.txt,mSQI Corregido (Arm),0.892970368503233,0.0762083009383754,0.804333395410182,1,0.24326554847326,0.195666604589818
II_Rest_Walking_2025-02-21.txt,mSQI Corregido (Sternum),0.895248143367026,0.0780260367184319,0.798089989194128,1,0.252991534212515,0.201910010805872
II_Rest_Working_2025-02-21.txt,mSQI Original,0.799028323133729,0.120472212178422,0.702494546729331,0.924714267556632,0.316329460295329,0.222219720827301
II_Rest_Working_2025-02-21.txt,mSQI Corregido (Arm),0.8410874168635,0.0733776298261811,0.735472328304467,0.925511863579626,0.258391142618879,0.190039535275158
