power_x,power_y,power_z,power_total_xyz
0.0154547497935223,0.0428116698582946,0.0351445899358762,0.0575050482044567
0.0138237509655065,0.0437332254404721,0.0272343277989124,0.0533422881852861
0.0140079486467184,0.0474069081770767,0.0273320496245589,0.0564860912515482
0.0122239053219293,0.0405948235889322,0.0255003452276754,0.0494735401024289
0.0127454791518578,0.0456394369466931,0.024460570677243,0.053326587753934
0.0130162409151299,0.0392005496805877,0.0265832551630664,0.049120006900301
0.00945618095071143,0.0231738352372496,0.0172332873389359,0.030388027087689
0.0105610131060899,0.0286944432960218,0.0179120814535177,0.0354365452025598
0.0102029444062887,0.0278500018756849,0.0164664217098167,0.0339244119029202
0.00935440158142445,0.0243635698743154,0.0145391190558957,0.0298743091784348
0.00989572063346346,0.0242786599646118,0.0153667570449447,0.0303894033934718
0.0113458599355977,0.0212564683676653,0.0159235282480939,0.0288812177203733
0.0124165443305879,0.037704444479284,0.0209897457043833,0.0449039545178322
0.0155804896825286,0.0440972809304691,0.0245141567693473,0.0528040313453455
0.011878226225019,0.0383261920316703,0.0231405209676087,0.0463192504748677
0.0148077566391434,0.0478868644910257,0.026882427986039,0.056877819770896
0.013418398510755,0.0444615614340437,0.0282958762869761,0.0543832738863203
0.0165911635789427,0.0492901376490392,0.0300317696838316,0.0600557371839458
0.0106302260109367,0.0200376289544929,0.0157887738552749,0.0276368170926852
0.0203881828973393,0.0350112136941847,0.0279844196642271,0.0492401343432246
0.0263947384106684,0.0322776568232409,0.0348306529596152,0.0543295843105731
0.0146505329796153,0.0365797341812197,0.0213023020282685,0.0447940078700161
0.0100268861679263,0.0263177834886453,0.0156739765914697,0.0322310055097526
0.00982856237636451,0.0258291670513754,0.0154915127569831,0.0316817530520916
0.0139937974082276,0.021660559780112,0.0185091396508574,0.0317426285380601
0.00952993695306237,0.0236351189904225,0.0146685694605195,0.029404174500211
0.0138873828299713,0.040340784801535,0.026887003490131,0.050429646805706
0.0154294460557994,0.0495097267840218,0.0305078562254611,0.0601665201195043
0.0165631644199378,0.0390494423859366,0.0241786733414596,0.0488242317994608
0.0177521366126254,0.0374162744853905,0.0290737989421505,0.050600412405513
