msqi_original,corrected_msqi_Arm,corrected_msqi_Sternum,power_Arm,power_Sternum,Diff_Arm,Diff_Sternum
0.196629016420989,1,1,0.0146534232833826,0.0193019540333816,0.803370983579011,0.803370983579011
0.701776978439076,0.823502171016229,0.774852009744692,0.0026462744123993,0.00432284025293729,0.121725192577153,0.073075031305616
0.193061144143933,1,0.981705005007648,0.00261939155779316,0.00422408390639883,0.806938855856067,0.788643860863715
0.199760500513543,0.854420551089187,0.960869840922259,0.00274638311376411,0.00431573486391897,0.654660050575644,0.761109340408716
0.826208466237978,0.862846364687682,0.863354832290487,0.00269025221350392,0.00421964232008501,0.0366378984497041,0.0371463660525091
0.859488582960526,0.860013035105014,0.862495055870889,0.00267573619949074,0.00407781310099835,0.000524452144488041,0.00300647291036304
0.196492057058916,0.949933017755378,1,0.00393291938459062,0.00562860234894023,0.753440960696462,0.803507942941084
0.905056898804722,0.905094015036931,0.905099838102365,0.00268197569240648,0.00415267551573718,3.71162322090335e-05,4.29392976430965e-05
0.917905683821909,0.917921869190915,0.917908953168819,0.00264348252808099,0.00414262153153441,1.61853690060498e-05,3.26934691008418e-06
0.92234596160264,0.922345993887526,0.922346147268046,0.00265035920131987,0.00408056573816102,3.2284885986833e-08,1.85665405938451e-07
0.525959136150669,0.986839573342007,0.987475493273363,0.00264179463963536,0.00407022912566488,0.460880437191338,0.461516357122694
0.883496236120082,0.884584216745028,0.884585152546452,0.00264885854750484,0.00394699991724465,0.00108798062494597,0.00108891642636999
0.92287994874143,0.92287994874143,0.92287994874143,0.00266063644482729,0.00398465074106944,0,0
0.773929486279196,0.830451622187171,0.827886069985049,0.0611574306283937,0.0242898299217083,0.0565221359079749,0.053956583705853
0.19719472104095,1,1,0.0297794633261395,0.0305098785653512,0.80280527895905,0.80280527895905
0.185122942110916,1,1,0.0246737268110877,0.0257785336074792,0.814877057889084,0.814877057889084
0.750218674191067,0.811970955335697,0.812163308531597,0.022559135785227,0.0219777758304125,0.0617522811446299,0.06194463434053
0.120280219386829,1,1,0.0339763981848638,0.0341131062183089,0.879719780613171,0.879719780613171
0.169379556118622,1,1,0.0307871892372443,0.0335375901043903,0.830620443881378,0.830620443881378
0.168153951314508,1,1,0.0260956977502545,0.0290007533633021,0.831846048685492,0.831846048685492
0.176650608317396,1,1,0.0223131042318454,0.0272464432563487,0.823349391682604,0.823349391682604
0.897151602869945,0.897310403630331,0.897321709203082,0.0221084475329382,0.0271745250961814,0.000158800760385991,0.000170106333136966
0.189182767466089,1,1,0.027468180048968,0.029292292828738,0.810817232533911,0.810817232533911
0.742319092318652,0.808646709119181,0.809238055285165,0.0322326756659546,0.0343195547977314,0.066327616800529,0.066918962966513
0.836074013447273,0.871391343982552,0.871771436033515,0.0183630328079971,0.0209557243193137,0.0353173305352791,0.0356974225862421
0.719049653410603,0.794102229472411,0.795787183457165,0.025941080934459,0.0323248891288095,0.075052576061808,0.076737530046562
0.779328744344674,0.831231380057015,0.831963539055446,0.0244235103234401,0.0291784250812194,0.051902635712341,0.0526347947107719
0.898301894637362,0.898450341238194,0.898456221067339,0.0239395082083202,0.0268983339658082,0.00014844660083202,0.000154326429977036
0.144969746830785,1,1,0.0286436196971176,0.0347678171301935,0.855030253169215,0.855030253169215
0.836219597881067,0.871579740353886,0.871875495265579,0.0206481658430193,0.0208212677993798,0.0353601424728189,0.0356558973845119
0.175881593102587,1,1,0.0317519290363937,0.0352189296956051,0.824118406897413,0.824118406897413
0.513958580667273,0.766732486719882,0.776457676154128,0.0283583771848012,0.033857393821926,0.252773906052609,0.262499095486855
0.176649127562475,1,1,0.0318948883172248,0.0251978413456243,0.823350872437525,0.823350872437525
0.763449795074955,0.821034860787401,0.821584629271853,0.0270038998221099,0.0292216551024171,0.0575850657124459,0.058134834196898
0.853569867565943,0.854966088341808,0.854972868785283,0.0280930147193416,0.0285042884353619,0.00139622077586499,0.00140300121934001
0.742828889712316,0.807280430621226,0.808441007533913,0.0221251930604282,0.0270828983166285,0.06445154090891,0.065612117821597
0.88606003189405,0.886381519152314,0.886398102735811,0.019788294709818,0.0230112504877062,0.000321487258263975,0.000338070841760962
0.70884773162847,0.788849792619471,0.789494124097611,0.0270463295968434,0.0284226034947433,0.0800020609910009,0.080646392469141
0.761424181018646,0.819481512345913,0.820257640897045,0.0250279951330356,0.0289354104957663,0.0580573313272671,0.0588334598783991
0.85025098318449,0.851854996380922,0.851812782479364,0.0312550125298111,0.0288517083678833,0.001604013196432,0.00156179929487399
0.700746153613176,0.786613463419714,0.786524121826411,0.0343299877995632,0.032819895110362,0.085867309806538,0.0857779682132349
0.850225143929602,0.851688010791876,0.851735546084123,0.0236529322990239,0.02603444786883,0.00146286686227393,0.00151040215452103
0.81966654959457,0.859486638959958,0.859924827044509,0.0232535205435028,0.0266107401990541,0.0398200893653881,0.040258277449939
0.890431644945539,0.890729740383308,0.890726719840966,0.0347353593071031,0.0336901227351392,0.000298095437769041,0.000295074895427017
0.735125826190723,0.803070380319735,0.803463202580375,0.0245545366863546,0.0250829496529845,0.067944554129012,0.068337376389652
0.749944294050588,0.812557957671182,0.813262136679291,0.0274177401180913,0.0303377184020718,0.062613663620594,0.063317842628703
0.919384262838254,0.919387282436869,0.919387416459828,0.0272619696471154,0.0310554846571522,3.0195986149284e-06,3.15362157399246e-06
0.787461124222068,0.83694704522983,0.837432784326375,0.0265955933019015,0.0290921330448047,0.0494859210077619,0.049971660104307
