power_x,power_y,power_z,power_total_xyz
0.00665705077853443,0.0212673696253614,0.00889033815551659,0.0239928207672454
0.00112431061127134,0.00251535119044424,0.00391921372666167,0.00479075173612032
0.00107321587774333,0.00240579781352148,0.00369897611608695,0.00454115401050954
0.00108688814332613,0.00239388535811721,0.00372024284921203,0.00455546043787279
0.00112396470888389,0.00248946714243155,0.00388251880953323,0.00474707232159382
0.00119629324140559,0.00275997475477238,0.00416127591691026,0.0051346660478624
0.0010790353137539,0.00244971224037964,0.00356221687001622,0.00445587211419066
0.00104948117796853,0.00235558568174813,0.00341476569413442,0.00427911432340903
0.00103932186128863,0.00234035378561282,0.00353830700729725,0.00436772964491549
0.00107523104348093,0.00233005991202996,0.0034813663188979,0.00432495230457757
0.00108471985953248,0.00235236611122014,0.00354062972354852,0.00438706078532728
0.00112613132396844,0.00257391636076108,0.00369891098937855,0.00464490685572508
0.00139376000480109,0.00296186162848352,0.00365502235978795,0.00490656496011375
0.00108829285297374,0.00231613550498835,0.00327581904312408,0.00415690454720766
0.00103030800440875,0.00233412451582228,0.00345883147792516,0.00429804455909863
0.00103031680110395,0.002235292505575,0.00325968609852893,0.00408456102378941
0.00100935109942232,0.00224545648984673,0.00333852353470582,0.00414808436286975
0.0010483533678574,0.00232712977426702,0.00343774904983145,0.00428166980275162
0.00101433643484775,0.0022664589610247,0.00334141671811328,0.00416302537935523
0.00104982244420772,0.0022627575507616,0.00337250434271735,0.00419475677954495
0.00105473684711015,0.00240773938622247,0.00330724698168415,0.00422463742426232
0.00111354299596882,0.00236614528036201,0.00351285527221286,0.0043793576760941
0.00103539682111933,0.00232800400118111,0.0033399007663751,0.00420078401443496
0.00103447242041157,0.002300041615303,0.00339174504060218,0.00422661318802269
0.00103310846155231,0.00225705433824594,0.00334688058076221,0.00416691936579159
0.00101362554293986,0.00219753099218211,0.00326101538276312,0.00406088666789886
0.00103160016015931,0.00225442498017201,0.00339947331512061,0.00420749922185155
0.0010600571138475,0.00239429881464119,0.0039224601790408,0.00471615115900367
0.00128560615587875,0.00254541451304969,0.00372327686445427,0.0046898516864244
0.00104673869256465,0.0023123995098819,0.00336027359279729,0.00421121027761199
