Files,Type,Mean,StdDev,p10,p90,Metric (90%-10%)/10%,Metric (90%-10%)
I_Rest_Stairs_2025-02-21.txt,mSQI Original,0.674342594097282,0.253939218817894,0.192558015872508,0.937599990813918,3.86918182328332,0.74504197494141
I_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Arm),0.773814736191821,0.1448087560876,0.549306098927563,0.937606534449801,0.706892634690084,0.388300435522237
I_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Sternum),0.772230513021709,0.145873838247963,0.548644353058511,0.937606538832748,0.708951406509338,0.388962185774237
I_Rest_Walking_2025-02-21.txt,mSQI Original,0.70233415549895,0.16300827245052,0.519725959888301,0.814778156462617,0.567707252179067,0.295052196574315
I_Rest_Walking_2025-02-21.txt,mSQI Corregido (Arm),0.767496334162989,0.0971151769850574,0.586731601072042,0.839392455222629,0.430624247422398,0.252660854150587
I_Rest_Walking_2025-02-21.txt,mSQI Corregido (Sternum),0.765481770985952,0.0945923294580364,0.587501193407252,0.837142391519493,0.424920325122117,0.249641198112241
I_Rest_Stairs_2025-02-21.txt,mSQI Original,0.674342594097282,0.253939218817894,0.192558015872508,0.937599990813918,3.86918182328332,0.74504197494141
I_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Arm),0.773814736191821,0.1448087560876,0.549306098927563,0.937606534449801,0.706892634690084,0.388300435522237
I_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Sternum),0.772230513021709,0.145873838247963,0.548644353058511,0.937606538832748,0.708951406509338,0.388962185774237
I_Rest_Working_2025-02-21.txt,mSQI Original,0.739633006596766,0.152814260579852,0.59232977514667,0.874512371928337,0.476394415107352,0.282182596781667
I_Rest_Working_2025-02-21.txt,mSQI Corregido (Arm),0.786962924269456,0.0850131888390206,0.706610229602173,0.874536190201267,0.237650055949002,0.167925960599093
I_Rest_Working_2025-02-21.txt,mSQI Corregido (Sternum),0.781867094255041,0.0949753046213736,0.701060069421144,0.874524267244362,0.247431290683044,0.173464197823218
I_Rest_Walking_2025-02-21.txt,mSQI Original,0.70233415549895,0.16300827245052,0.519725959888301,0.814778156462617,0.567707252179067,0.295052196574315
I_Rest_Walking_2025-02-21.txt,mSQI Corregido (Arm),0.767496334162989,0.0971151769850574,0.586731601072042,0.839392455222629,0.430624247422398,0.252660854150587
I_Rest_Walking_2025-02-21.txt,mSQI Corregido (Sternum),0.765481770985952,0.0945923294580364,0.587501193407252,0.837142391519493,0.424920325122117,0.249641198112241
I_Rest_Working_2025-02-21.txt,mSQI Original,0.739633006596766,0.152814260579852,0.59232977514667,0.874512371928337,0.476394415107352,0.282182596781667
I_Rest_Working_2025-02-21.txt,mSQI Corregido (Arm),0.786962924269456,0.0850131888390206,0.706610229602173,0.874536190201267,0.237650055949002,0.167925960599093
I_Rest_Working_2025-02-21.txt,mSQI Corregido (Sternum),0.781867094255041,0.0949753046213736,0.701060069421144,0.874524267244362,0.247431290683044,0.173464197823218
II_Rest_Stairs_2025-02-21.txt,mSQI Original,0.784901317625016,0.184296233609816,0.530702370308381,0.939368992181654,0.770048608668932,0.408666621873273
II_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Arm),0.822785945895283,0.116070314520447,0.595541107373831,0.939373636343993,0.577344745329783,0.343832528970162
II_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Sternum),0.823496671207802,0.11437363822504,0.602209131070987,0.939376686186867,0.559884494803742,0.33716755511588
II_Rest_Walking_2025-02-21.txt,mSQI Original,0.61917695132871,0.298716987581505,0.176111853440553,0.903030397554514,4.12759578593234,0.726918544113961
II_Rest_Walking_2025-02-21.txt,mSQI Corregido (Arm),0.750177840700597,0.167114015035399,0.518841962903944,0.914057770723727,0.761726760896074,0.395215807819782
II_Rest_Walking_2025-02-21.txt,mSQI Corregido (Sternum),0.738765386867751,0.165044110831887,0.523187428330835,0.903053165916385,0.726060522511911,0.379865737585549
II_Rest_Stairs_2025-02-21.txt,mSQI Original,0.784901317625016,0.184296233609816,0.530702370308381,0.939368992181654,0.770048608668932,0.408666621873273
II_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Arm),0.822785945895283,0.116070314520447,0.595541107373831,0.939373636343993,0.577344745329783,0.343832528970162
II_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Sternum),0.823496671207802,0.11437363822504,0.602209131070987,0.939376686186867,0.559884494803742,0.33716755511588
II_Rest_Working_2025-02-21.txt,mSQI Original,0.799028323133729,0.120472212178422,0.702494546729331,0.924714267556632,0.316329460295329,0.222219720827301
II_Rest_Working_2025-02-21.txt,mSQI Corregido (Arm),0.82577699378674,0.0736411711400615,0.763367768671041,0.924715864555558,0.211363516389237,0.161348095884517
II_Rest_Working_2025-02-21.txt,mSQI Corregido (Sternum),0.823933909744301,0.0785267015550492,0.762425233773363,0.924718517984569,0.212864523656951,0.162293284211206
II_Rest_Walking_2025-02-21.txt,mSQI Original,0.61917695132871,0.298716987581505,0.176111853440553,0.903030397554514,4.12759578593234,0.726918544113961
II_Rest_Walking_2025-02-21.txt,mSQI Corregido (Arm),0.750177840700597,0.167114015035399,0.518841962903944,0.914057770723727,0.761726760896074,0.395215807819782
II_Rest_Walking_2025-02-21.txt,mSQI Corregido (Sternum),0.738765386867751,0.165044110831887,0.523187428330835,0.903053165916385,0.726060522511911,0.379865737585549
II_Rest_Working_2025-02-21.txt,mSQI Original,0.799028323133729,0.120472212178422,0.702494546729331,0.924714267556632,0.316329460295329,0.222219720827301
II_Rest_Working_2025-02-21.txt,mSQI Corregido (Arm),0.82577699378674,0.0736411711400615,0.763367768671041,0.924715864555558,0.211363516389237,0.161348095884517
II_Rest_Working_2025-02-21.txt,mSQI Corregido (Sternum),0.823933909744301,0.0785267015550492,0.762425233773363,0.924718517984569,0.212864523656951,0.162293284211206
