Files,Type,Mean,StdDev,p10,p90,Metric (90%-10%)/10%,Metric (90%-10%)
I_Rest_Stairs_2025-02-21.txt,mSQI Original,0.674342594097282,0.253939218817894,0.192558015872508,0.937599990813918,3.86918182328332,0.74504197494141
I_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Arm),0.710728735831298,0.255806486139237,0.210647847224547,0.940433658232883,3.46448264543809,0.729785811008336
I_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Sternum),0.703964647070791,0.254162514621898,0.208497491326086,0.939254582414533,3.50487234374229,0.730757091088447
I_Rest_Walking_2025-02-21.txt,mSQI Original,0.70233415549895,0.16300827245052,0.519725959888301,0.814778156462617,0.567707252179067,0.295052196574315
I_Rest_Walking_2025-02-21.txt,mSQI Corregido (Arm),0.726299769630988,0.165172483373137,0.545135404529654,0.849107185772196,0.557607850667506,0.303971781242542
I_Rest_Walking_2025-02-21.txt,mSQI Corregido (Sternum),0.729878579728421,0.165908316427256,0.548798276596341,0.85660922655886,0.560881772208853,0.30781094996252
I_Rest_Stairs_2025-02-21.txt,mSQI Original,0.674342594097282,0.253939218817894,0.192558015872508,0.937599990813918,3.86918182328332,0.74504197494141
I_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Arm),0.710728735831298,0.255806486139237,0.210647847224547,0.940433658232883,3.46448264543809,0.729785811008336
I_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Sternum),0.703964647070791,0.254162514621898,0.208497491326086,0.939254582414533,3.50487234374229,0.730757091088447
I_Rest_Walking_2025-02-21.txt,mSQI Original,0.70233415549895,0.16300827245052,0.519725959888301,0.814778156462617,0.567707252179067,0.295052196574315
I_Rest_Walking_2025-02-21.txt,mSQI Corregido (Arm),0.726299769630988,0.165172483373137,0.545135404529654,0.849107185772196,0.557607850667506,0.303971781242542
I_Rest_Walking_2025-02-21.txt,mSQI Corregido (Sternum),0.729878579728421,0.165908316427256,0.548798276596341,0.85660922655886,0.560881772208853,0.30781094996252
I_Rest_Stairs_2025-02-21.txt,mSQI Original,0.674342594097282,0.253939218817894,0.192558015872508,0.937599990813918,3.86918182328332,0.74504197494141
I_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Arm),0.710728735831298,0.255806486139237,0.210647847224547,0.940433658232883,3.46448264543809,0.729785811008336
I_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Sternum),0.703964647070791,0.254162514621898,0.208497491326086,0.939254582414533,3.50487234374229,0.730757091088447
I_Rest_Working_2025-02-21.txt,mSQI Original,0.739633006596766,0.152814260579852,0.59232977514667,0.874512371928337,0.476394415107352,0.282182596781667
I_Rest_Working_2025-02-21.txt,mSQI Corregido (Arm),0.765316836081545,0.150066315726792,0.617849055328626,0.880765121993596,0.425534464117823,0.26291606666497
I_Rest_Working_2025-02-21.txt,mSQI Corregido (Sternum),0.742648227984513,0.152438277962769,0.594928507258294,0.877931678939953,0.475692739932515,0.283003171681659
I_Rest_Walking_2025-02-21.txt,mSQI Original,0.70233415549895,0.16300827245052,0.519725959888301,0.814778156462617,0.567707252179067,0.295052196574315
I_Rest_Walking_2025-02-21.txt,mSQI Corregido (Arm),0.726299769630988,0.165172483373137,0.545135404529654,0.849107185772196,0.557607850667506,0.303971781242542
I_Rest_Walking_2025-02-21.txt,mSQI Corregido (Sternum),0.729878579728421,0.165908316427256,0.548798276596341,0.85660922655886,0.560881772208853,0.30781094996252
I_Rest_Working_2025-02-21.txt,mSQI Original,0.739633006596766,0.152814260579852,0.59232977514667,0.874512371928337,0.476394415107352,0.282182596781667
I_Rest_Working_2025-02-21.txt,mSQI Corregido (Arm),0.765316836081545,0.150066315726792,0.617849055328626,0.880765121993596,0.425534464117823,0.26291606666497
I_Rest_Working_2025-02-21.txt,mSQI Corregido (Sternum),0.742648227984513,0.152438277962769,0.594928507258294,0.877931678939953,0.475692739932515,0.283003171681659
II_Rest_Stairs_2025-02-21.txt,mSQI Original,0.784901317625016,0.184296233609816,0.530702370308381,0.939368992181654,0.770048608668932,0.408666621873273
II_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Arm),0.823546923565902,0.185313497929921,0.564509230844559,0.945638882495466,0.675152204474499,0.381129651650908
II_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Sternum),0.820331717259238,0.183194399798592,0.57213984954094,0.944704934921221,0.651178353822427,0.372565085380281
II_Rest_Walking_2025-02-21.txt,mSQI Original,0.61917695132871,0.298716987581505,0.176111853440553,0.903030397554514,4.12759578593234,0.726918544113961
II_Rest_Walking_2025-02-21.txt,mSQI Corregido (Arm),0.641638817726985,0.30861026963338,0.184457439137741,0.922790181403608,4.00272683887002,0.738332742265867
II_Rest_Walking_2025-02-21.txt,mSQI Corregido (Sternum),0.641215055282592,0.308131402204819,0.184459219217292,0.922842320855747,4.00296122238621,0.738383101638456
II_Rest_Stairs_2025-02-21.txt,mSQI Original,0.784901317625016,0.184296233609816,0.530702370308381,0.939368992181654,0.770048608668932,0.408666621873273
II_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Arm),0.823546923565902,0.185313497929921,0.564509230844559,0.945638882495466,0.675152204474499,0.381129651650908
II_Rest_Stairs_2025-02-21.txt,mSQI Corregido (Sternum),0.820331717259238,0.183194399798592,0.57213984954094,0.944704934921221,0.651178353822427,0.372565085380281
II_Rest_Working_2025-02-21.txt,mSQI Original,0.799028323133729,0.120472212178422,0.702494546729331,0.924714267556632,0.316329460295329,0.222219720827301
